,WordA,WordB,AlphaN,Corpus Sentence,Form,Percept,Culture,Power,Intense,Icon,Freq,Len,Lapse,*BStress,OverallFreq,RelFreq,model.prop,Extremity,Experimental sentence,,,Notes,Too weird?,"""",
120,belmont,saratoga,"During the summer he had tried *-1 to repair some of his losses at the track , and the bare trees reminded him that his pari-mutuel tickets would still be lying , like leaves , in the gutters near Belmont and Saratoga .","During the summer he had tried *-1 to repair some of his losses at the track , and the bare trees reminded him that his pari-mutuel tickets would still be lying , like leaves , in the gutters near Belmont and Saratoga .",x,x,,,,,,,,1,173,0.6647398844,0.62041587,0.62041587,x,x,x,,,"""alpha""; 120; x","""nonalpha""; 120; x"
121,gift,heritage,465,"One is the primary purpose for which marriage exists *T*-1 , namely , the continuance of the race through the gift and heritage of children ; ; the other is the paramount importance in married life of deliberate and thoughtful self-control '' .",0,0,0,0,0,0,0.980400363,2,2,1,516,0.5096899225,0.61950867,0.61950867,Through both X and Y Mr. Collins has come to possess a large coin collection.,Through both gift and heritage Mr. Collins has come to possess a large coin collection.,Through both heritage and gift Mr. Collins has come to possess a large coin collection.,,,"""alpha""; 121; Through both gift and heritage Mr. Collins has come to possess a large coin collection.","""nonalpha""; 121; Through both heritage and gift Mr. Collins has come to possess a large coin collection."
122,concern,inquiry,"A characteristic expression of such concern and inquiry is found *-1 in Joseph P. Lyford 's Introduction To The Agreeable Autocracies , a recent paperback study of the institutions of modern democratic society .","A characteristic expression of such concern and inquiry is found *-1 in Joseph P. Lyford 's Introduction To The Agreeable Autocracies , a recent paperback study of the institutions of modern democratic society .",I immediately knew from the concern and inquiry in her voice that she was the victim's family.,I immediately knew from the inquiry and concern in her voice that she was the victim's family.,"Not entirely sure what this mean. Maybe replace with something about ""the X and Y in her voice""?",,,,,,,1,633,0.317535545,0.61892792,0.61892792,I immediately knew from the X and Y in her voice that she was the victim's family member.,I immediately knew from the concern and inquiry in her voice that she was the victim's family member.,I immediately knew from the inquiry and concern in her voice that she was the victim's family member.,"Not entirely sure what this mean. Maybe replace with something about ""the X and Y in her voice""?",,"""alpha""; 122; I immediately knew from the concern and inquiry in her voice that she was the victim's family member.","""nonalpha""; 122; I immediately knew from the inquiry and concern in her voice that she was the victim's family member."
123,community,customers,"Proprietorships can establish a meaningful identity , representing a human personality , and thus establish sincere relationships with customers and community .","Proprietorships can establish a meaningful identity , representing a human personality , and thus establish sincere relationships with customers and community .",Store owners can establish sincere relationships with their community and customers by representing a human personality.,Store owners can establish sincere relationships with their customers and community by representing a human personality.,"I don't know what ""proprietorships"" are. Change to ""store owners"" or something?",,,,,,,0,502,0.2171314741,0.38225231,0.61774769,Store owners can establish sincere relationships with their X and Y by representing a human personality.,Store owners can establish sincere relationships with their community and customers by representing a human personality.,Store owners can establish sincere relationships with their customers and community by representing a human personality.,"I don't know what ""proprietorships"" are. Change to ""store owners"" or something?",,"""alpha""; 123; Store owners can establish sincere relationships with their community and customers by representing a human personality.","""nonalpha""; 123; Store owners can establish sincere relationships with their customers and community by representing a human personality."
124,calumny,spite,"Here he was *T*-1 , *-2 suddenly caught up in the delirium of a war , in the spite and calumny of Whigs and Tories .","Here he was *T*-1 , *-2 suddenly caught up in the delirium of a war , in the spite and calumny of Whigs and Tories .",x,x,"I don't think most people know the word ""calumny""",yes,,,,,,-1,65,1,0.38382195,0.61617805,x,x,x,"I don't think most people know the word ""calumny""",yes,"""alpha""; 124; x","""nonalpha""; 124; x"
125,appliances,cosmetics,Our key salesmen are in appliances and cosmetics '' .,Our key salesmen are in appliances and cosmetics '' .,Salesmen in appliances and cosmetics are the best in the department store.,Salesmen in cosmetics and appliances are the best in the department store.,,,,,,,,0,43,1,0.6161532,0.6161532,Salesmen in X and Y are the best in the department store.,Salesmen in appliances and cosmetics are the best in the department store.,Salesmen in cosmetics and appliances are the best in the department store.,,,"""alpha""; 125; Salesmen in appliances and cosmetics are the best in the department store.","""nonalpha""; 125; Salesmen in cosmetics and appliances are the best in the department store."
126,flirtation,romance,994,There will be romance and flirtation .,-1,0,0,0,0,0,-2.966267189,0,0,0,145,0.6827586207,0.38469722,0.61530278,The novel filled with X and Y was disdained by the stern English teacher.,The novel filled with flirtation and romance was disdained by the stern English teacher.,The novel filled with romance and flirtation was disdained by the stern English teacher.,,,"""alpha""; 126; The novel filled with flirtation and romance was disdained by the stern English teacher.","""nonalpha""; 126; The novel filled with romance and flirtation was disdained by the stern English teacher."
127,optimism,practicality,840,"*-1 Balanced properly between optimism and practicality , the nondefeatist attitude of the shell people led them to extricate themselves , their ships and personnel , from bizarre situations .",0,1,0,0,0,0,1.623908617,1,1,0,91,1,0.61520928,0.61520928,Christina was trying to find a proper balance between X and Y through meditation every morning.,Christina was trying to find a proper balance between optimism and practicality through meditation every morning.,Christina was trying to find a proper balance between practicality and optimism through meditation every morning.,,,"""alpha""; 127; Christina was trying to find a proper balance between optimism and practicality through meditation every morning.","""nonalpha""; 127; Christina was trying to find a proper balance between practicality and optimism through meditation every morning."
128,gentility,principle,459,A life of gentility and principle such as Cousin Elec had lived had *-2 to be known *-1 at first hand .,0,0,0,0,-1,0,-4.816653823,0,0,0,0,NA,0.38581903,0.61418097,Having lived a life of X and Y Cousin Elec passed away peacefully in his bed.,Having lived a life of gentility and principle Cousin Elec passed away peacefully in his bed.,Having lived a life of principle and gentility Cousin Elec passed away peacefully in his bed.,,,"""alpha""; 128; Having lived a life of gentility and principle Cousin Elec passed away peacefully in his bed.","""nonalpha""; 128; Having lived a life of principle and gentility Cousin Elec passed away peacefully in his bed."
129,playbacks,study,898,"Since interviewing is the basic therapeutic and diagnostic instrument of modern psychiatry , the recording of interviews for playbacks and study has been a boost of Redstone proportions in new research and training .",0,0,0,0,0,1,-8.948346232,0,0,0,0,NA,0.61391019,0.61391019,x,x,x,,yes,"""alpha""; 129; x","""nonalpha""; 129; x"
130,gardens,housing,556,"A fringe of housing and gardens bearded the top of the heights , and behind it were *T*-1 sandy roads leading past farms and hayfields .",0,0,-1,0,0,0,-0.7546256855,0,0,0,61,0,0.38624284,0.61375716,A fringe of X and Y lined the top of the hill.,A fringe of gardens and housing lined the top of the hill.,A fringe of housing and gardens lined the top of the hill.,,,"""alpha""; 130; A fringe of gardens and housing lined the top of the hill.","""nonalpha""; 130; A fringe of housing and gardens lined the top of the hill."
131,clergymen,parishioners,"`` I should say 0 it is the turning of courts of law into veritable theatres for sex dramas , involving clergymen and parishioners , psychiatrists and patients .","`` I should say 0 it is the turning of courts of law into veritable theatres for sex dramas , involving clergymen and parishioners , psychiatrists and patients .",This scandal involving clergymen and parishioners shocked the entire world.,This scandal involving parishioners and clergymen shocked the entire world.,,,,,,,,1,104,1,0.6137071,0.6137071,This scandal involving X and Y shocked the entire world.,This scandal involving clergymen and parishioners shocked the entire world.,This scandal involving parishioners and clergymen shocked the entire world.,,,"""alpha""; 131; This scandal involving clergymen and parishioners shocked the entire world.","""nonalpha""; 131; This scandal involving parishioners and clergymen shocked the entire world."
